"Retailer","Retailer_ID","Invoice_Date","Region","State","City","Product","Price_per_Unit","Units_Sold","Total_Sale","Operating_Profit","Operating_Margin","Sales_Method"
"Foot Locker","1185732","2020-01-01","Northeast","New York","New York","Men's Street Footwear","50","1200","60000","30000","50%","In-store"
"Foot Locker","1185732","2020-01-02","Northeast","New York","New York","Men's Athletic Footwear","50","1000","50000","15000","30%","In-store"
"Foot Locker","1185732","2020-01-03","Northeast","New York","New York","Women's Street Footwear","40","1000","40000","14000","35%","In-store"
"Foot Locker","1185732","2020-01-04","Northeast","New York","New York","Women's Athletic Footwear","45","850","38250","13387","35%","In-store"
"Foot Locker","1185732","2020-01-05","Northeast","New York","New York","Men's Apparel","60","900","54000","16200","30%","In-store"
"Foot Locker","1185732","2020-01-06","Northeast","New York","New York","Women's Apparel","50","1000","50000","12500","25%","In-store"
"Foot Locker","1185732","2020-01-07","Northeast","New York","New York","Men's Street Footwear","50","1250","62500","31250","50%","In-store"
"Foot Locker","1185732","2020-01-08","Northeast","New York","New York","Men's Athletic Footwear","50","900","45000","13500","30%","Outlet"
"Foot Locker","1185732","2020-01-21","Northeast","New York","New York","Women's Street Footwear","40","950","38000","13300","35%","Outlet"
"Foot Locker","1185732","2020-01-22","Northeast","New York","New York","Women's Athletic Footwear","45","825","37125","12993","35%","Outlet"
"Foot Locker","1185732","2020-01-23","Northeast","New York","New York","Men's Apparel","60","900","54000","16200","30%","Outlet"
"Foot Locker","1185732","2020-01-24","Northeast","New York","New York","Women's Apparel","50","1000","50000","12500","25%","Outlet"
"Foot Locker","1185732","2020-01-25","Northeast","New York","New York","Men's Street Footwear","50","1220","61000","30500","50%","Outlet"
"Foot Locker","1185732","2020-01-26","Northeast","New York","New York","Men's Athletic Footwear","50","925","46250","13875","30%","Outlet"
"Foot Locker","1185732","2020-01-27","Northeast","New York","New York","Women's Street Footwear","40","950","38000","13300","35%","Outlet"
"Foot Locker","1185732","2020-01-28","Northeast","New York","New York","Women's Athletic Footwear","45","800","36000","12600","35%","Outlet"
"Foot Locker","1185732","2020-01-29","Northeast","New York","New York","Men's Apparel","60","850","51000","15300","30%","Outlet"
"Foot Locker","1185732","2020-01-30","Northeast","New York","New York","Women's Apparel","50","950","47500","11875","25%","Outlet"
"Foot Locker","1185732","2020-01-31","Northeast","New York","New York","Men's Street Footwear","50","1200","60000","30000","50%","Outlet"
"Foot Locker","1185732","2020-02-01","Northeast","New York","New York","Men's Athletic Footwear","50","900","45000","13500","30%","Outlet"
"Foot Locker","1185732","2020-02-02","Northeast","New York","New York","Women's Street Footwear","40","900","36000","12600","35%","Outlet"
"Foot Locker","1185732","2020-02-03","Northeast","New York","New York","Women's Athletic Footwear","45","825","37125","12993","35%","Outlet"
"Foot Locker","1185732","2020-02-04","Northeast","New York","New York","Men's Apparel","60","825","49500","14850","30%","Outlet"
"Foot Locker","1185732","2020-02-05","Northeast","New York","New York","Women's Apparel","50","950","47500","11875","25%","Outlet"
"Foot Locker","1185732","2020-02-06","Northeast","New York","New York","Men's Street Footwear","60","1220","73200","36600","50%","Outlet"
"Foot Locker","1185732","2020-02-07","Northeast","New York","New York","Men's Athletic Footwear","55","925","50875","15262","30%","Outlet"
"Foot Locker","1185732","2020-02-08","Northeast","New York","New York","Women's Street Footwear","50","900","45000","15750","35%","Outlet"
"Foot Locker","1185732","2020-02-09","Northeast","New York","New York","Women's Athletic Footwear","50","850","42500","14875","35%","Outlet"
"Foot Locker","1185732","2020-02-10","Northeast","New York","New York","Men's Apparel","60","875","52500","15750","30%","Outlet"
"Foot Locker","1185732","2020-03-03","Northeast","New York","New York","Women's Apparel","65","1000","65000","16250","25%","Outlet"
"Foot Locker","1185732","2020-03-04","Northeast","New York","New York","Men's Street Footwear","60","1250","75000","37500","50%","Outlet"
"Foot Locker","1185732","2020-03-05","Northeast","New York","New York","Men's Athletic Footwear","55","1000","55000","16500","30%","Outlet"
"Foot Locker","1185732","2020-03-06","Northeast","New York","New York","Women's Street Footwear","50","925","46250","16187","35%","Outlet"
"Foot Locker","1185732","2020-03-07","Northeast","New York","New York","Women's Athletic Footwear","50","900","45000","15750","35%","Outlet"
"Foot Locker","1185732","2020-03-08","Northeast","New York","New York","Men's Apparel","60","900","54000","16200","30%","Outlet"
"Foot Locker","1185732","2020-03-09","Northeast","New York","New York","Women's Apparel","65","1050","68250","17062","25%","Outlet"
"Foot Locker","1185732","2020-03-10","Northeast","New York","New York","Men's Street Footwear","60","1275","76500","38250","50%","Outlet"
"Foot Locker","1185732","2020-03-11","Northeast","New York","New York","Men's Athletic Footwear","55","1025","56375","16912","30%","Outlet"
